Raesfeld -                Place in North Rhine-Westphalia    
Flughafen -               Airport
Berlin -                  Berlin
Bratwurst -               Sausages fried or intended for frying
Hauptstrasse -            Main road
Brot -                    bread
Klimaanlage -             air conditioning
Rammstein -               German Neue Deutsche Härte
Porsche -                 motor vehicle brand
BMW -                     BMW
Biergarten -              beer garden
Ratskeller -              Restaurant located in the basement of a town hall
Dirndel -                 German culture feminine dress
Lederhose -               leather pants
Schloss -                 lock
wettbewerbsfaehig -       competitive
Mehlhase -                Mehlhase
Gebaeck -                 pastries
Baeckerei -               Bakery
Hund -                    dog
Doener -                  Doner
Apfelkuchen -             Apple Cake
Schloss -                 lock
Eltz -                    German medieval castle
